,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
on,0.3004,0.2501,-0.16690000000000002,0.1923,0.0269,-0.0795,-0.9138000000000001,-0.19740000000000002,-0.0534,-0.40850000000000003,-0.2684,-0.2821,-0.5,0.1221,0.39030000000000004,0.178,-0.4429,-0.4048,-0.9505,-0.169,0.7779,0.3352,0.3346,-0.1754,-0.1202,-1.7861,0.2924,0.5593,0.03,-0.3242,3.9297,0.10880000000000001,-0.5734,-0.1784,0.004200000000000001,-0.1631,0.45080000000000003,-0.1612,-0.1731,-0.0879,-0.089,0.062,-0.1995,-0.3886,-0.18230000000000002,0.0608,0.09860000000000001,-0.0713,0.2305,-0.5194
is,0.6185,0.6425000000000001,-0.4655,0.37570000000000003,0.7484000000000001,0.5374,0.0022,-0.6058,0.2641,0.117,0.43720000000000003,0.20090000000000002,-0.0579,-0.34590000000000004,0.21660000000000001,0.5857,0.5392,0.6949000000000001,-0.1562,0.0558,-0.6052000000000001,-0.29,-0.0256,0.5559000000000001,0.2536,-1.9612,-0.5138,0.6910000000000001,0.06620000000000001,-0.054200000000000005,3.7871,-0.774,-0.1269,-0.5147,0.06670000000000001,-0.32930000000000004,0.1348,0.1905,0.1381,-0.215,-0.0166,0.312,-0.33190000000000003,-0.026000000000000002,-0.382,0.194,-0.1247,-0.2756,0.309,0.485
was,0.0869,-0.1942,-0.2427,-0.33390000000000003,0.5673,0.39780000000000004,-0.9781000000000001,0.0316,-0.6147,-0.3141,0.5614,0.12890000000000001,-0.8419000000000001,-0.46990000000000004,0.47100000000000003,0.023,-0.5961000000000001,0.22290000000000001,-1.1614,0.3865,0.0674,0.44880000000000003,0.1739,-0.5357000000000001,0.1791,-2.1647,-0.1283,0.2904,-0.1506,0.3524,3.124,-0.9008,-0.0257,-0.4171,0.4056,-0.227,0.7683,0.6098,0.07010000000000001,-0.1327,-0.12010000000000001,0.0961,-0.44,-0.4853,-0.5188,-0.30770000000000003,-0.7503000000000001,-0.77,0.3945,-0.1694
said,0.38970000000000005,-0.2121,0.5184,0.8014,1.0336,-0.2778,-0.8452000000000001,-0.2533,0.1259,-0.9034000000000001,0.24980000000000002,0.2202,-1.2053,-0.5377000000000001,1.0446,0.6278,0.397,-0.15810000000000002,0.381,-0.5467000000000001,-0.44010000000000005,1.0976,0.0131,-0.8997,0.4123,-2.2309,0.29,0.32180000000000003,-0.7274,-0.0922,3.028,-0.0626,0.0383,0.0073,-0.3539,-0.9226000000000001,0.0979,0.10070000000000001,1.2116,0.8823000000000001,-0.463,1.3186,0.327,-0.7345,0.893,-0.45320000000000005,-1.2698,0.8612000000000001,0.14150000000000001,1.2018
with,0.25620000000000004,0.4369,-0.1189,0.2034,0.41960000000000003,0.8586,-0.6034,-0.3184,-0.6718000000000001,0.004,-0.0752,0.11040000000000001,-0.7353000000000001,0.27440000000000003,0.054,-0.2383,-0.13770000000000002,0.011600000000000001,-0.4662,-0.5523,0.0833,0.5594,0.519,-0.2706,-0.2821,-1.3918,0.17500000000000002,0.2659,0.0614,-0.273,3.9032,0.38170000000000004,-0.056,-0.0044,0.2403,0.3068,-0.1264,0.33440000000000003,0.0755,-0.0362,0.1369,0.3776,-0.1216,-0.1381,0.195,0.22790000000000002,-0.17300000000000001,-0.0757,-0.2587,-0.3934
he,-0.20090000000000002,-0.0603,-0.6177,-0.8444,0.5781000000000001,0.1467,-0.861,0.6705,-0.8656,-0.18230000000000002,0.15860000000000002,0.4581,-1.0163,-0.3587,0.7387,-0.24050000000000002,-0.33890000000000003,0.2574,-0.7819,0.0835,0.17750000000000002,0.9177000000000001,0.6453,-0.199,0.37420000000000003,-2.7525,-0.0916,0.0403,-0.0648,-0.31470000000000004,3.3944,0.0449,-0.5504,-0.6533,0.1044,0.0164,0.2439,1.0085,0.3141,-0.3381,-0.1693,0.1023,-0.6214000000000001,0.1983,-0.36150000000000004,-0.2477,-0.3899,-0.3332,-0.0417,-0.0132
as,0.2078,0.12710000000000002,-0.3019,-0.23120000000000002,0.3018,0.33190000000000003,-0.5278,-0.4404,-0.48350000000000004,0.035,0.3478,0.5457000000000001,-0.2066,-0.08370000000000001,0.2462,0.1593,-0.0031000000000000003,0.3244,-0.45270000000000005,-0.2218,0.0227,-0.0417,0.31820000000000004,0.0886,-0.038,-1.8212000000000002,-0.5092,-0.0975,-0.08950000000000001,0.0505,3.718,-0.165,-0.0787,-0.5710000000000001,0.20420000000000002,0.1341,0.0743,0.08750000000000001,-0.2544,-0.1501,-0.1577,0.3961,-0.23650000000000002,-0.0951,0.0786,-0.0123,-0.4988,-0.353,0.0506,0.0195
it,0.6118,-0.2207,-0.109,-0.053,0.508,0.3468,-0.3356,-0.1915,-0.0359,0.1051,0.0794,0.2449,-0.4373,-0.33340000000000003,0.5748,0.6905,0.29710000000000003,0.0907,-0.5499,-0.46180000000000004,0.10110000000000001,-0.020200000000000003,0.2848,0.043500000000000004,0.45740000000000003,-2.0466,-0.5808,0.618,0.6518,-0.5826,4.0786,-0.25420000000000004,-0.14650000000000002,-0.3432,-0.2544,-0.44680000000000003,0.12660000000000002,0.2813,0.1333,-0.36970000000000003,0.050100000000000006,-0.10060000000000001,-0.0179,0.1114,-0.718,0.491,-0.1,-0.0437,-0.0979,0.1681
by,0.3522,-0.356,0.2571,-0.1061,-0.20720000000000002,0.636,-1.0129,-0.4596,-0.48750000000000004,-0.0806,0.43770000000000003,0.4605,-0.8094,-0.23340000000000002,0.4662,-0.1087,-0.1221,-0.6354000000000001,-0.7349,-0.2485,0.43170000000000003,0.09230000000000001,0.5203,-0.46780000000000005,0.016800000000000002,-1.5124,-0.19990000000000002,-0.4335,-0.5925,0.1809,3.5194,-0.7024,0.2361,-0.6851,-0.37010000000000004,-0.0805,0.10640000000000001,-0.0855,-0.1845,0.2977,0.1812,0.5363,-0.10010000000000001,-0.5516,0.0988,-0.12940000000000002,-0.8263,-0.4329,-0.10300000000000001,-0.5608000000000001
at,0.2772,0.8847,-0.2625,0.08410000000000001,0.4081,-1.1697,-0.6852,0.1427,-0.5734,-0.5858,-0.5083,-0.8641000000000001,-0.526,-0.5638000000000001,0.3286,0.4339,-0.21250000000000002,0.49360000000000004,-1.8137,-0.0357,1.3227,0.8086,0.0122,-0.08700000000000001,-0.1681,-1.5935000000000001,0.4703,0.261,-0.4167,-0.38530000000000003,3.4413,0.3438,-0.0359,-0.5678000000000001,0.18380000000000002,-0.48650000000000004,0.42650000000000005,0.4408,1.0931,0.0639,-0.06430000000000001,-0.2923,0.08650000000000001,0.3524,0.1789,0.2594,0.37070000000000003,-0.5161,0.023200000000000002,0.057800000000000004
from,0.41040000000000004,0.1134,0.051500000000000004,-0.5383,-0.1291,0.2225,-0.9494,-0.18960000000000002,-0.3662,-0.067,0.19360000000000002,-0.3304,0.11620000000000001,-0.5858,0.36110000000000003,0.12560000000000002,-0.35810000000000003,-0.023200000000000002,-1.2319,0.2338,0.7126,0.1482,0.5087,-0.1231,-0.20350000000000001,-1.82,0.22290000000000001,0.020300000000000002,-0.08170000000000001,-0.2748,3.7343,-0.0187,-0.0845,-0.30360000000000004,0.2796,0.043300000000000005,-0.2462,0.0154,0.4975,0.1511,-0.0162,0.40130000000000005,0.23070000000000002,-0.10740000000000001,-0.3662,-0.0511,0.0415,-0.36060000000000003,-0.1962,-0.8107000000000001
his,-0.0335,0.47540000000000004,-0.6875,-0.7266,0.8403,0.643,-0.7598,0.6324000000000001,-0.5418000000000001,0.1163,-0.2025,0.6332,-1.2677,-0.1767,0.3528,-0.551,-0.6502,-0.3405,-0.3166,-0.0779,-0.11080000000000001,0.973,-0.016800000000000002,-0.7375,0.47850000000000004,-2.7069,-0.4242,-0.053500000000000006,0.018500000000000003,-0.1189,3.3082000000000003,0.1786,-0.507,-0.22890000000000002,0.24180000000000001,0.5698,0.0971,0.9542,0.0076,-0.5415,0.0983,0.4153,-1.116,0.0051,-0.14980000000000002,-0.45130000000000003,-0.08120000000000001,-0.6217,-0.022600000000000002,-0.4383
an,0.3614,0.5861000000000001,-0.23720000000000002,0.07970000000000001,0.8019000000000001,0.49920000000000003,-0.3317,-0.1978,0.1388,0.168,0.12560000000000002,-0.2449,-0.09230000000000001,0.3514,-0.0244,-0.3171,0.0712,0.3709,-0.8203,0.2119,-0.0522,0.2993,-0.4949,-0.1255,-0.012400000000000001,-2.2174,-0.08270000000000001,0.15180000000000002,0.0504,0.6123000000000001,3.7305,-0.9315,-0.2872,-0.4806,0.060700000000000004,0.058100000000000006,0.42060000000000003,-0.0466,0.0835,-0.23820000000000002,0.38830000000000003,0.3693,-0.44070000000000004,0.0757,-0.0506,-0.4227,-0.21580000000000002,0.3936,0.3652,0.3608
be,0.911,-0.22870000000000001,0.20770000000000002,-0.2024,0.507,-0.0579,-0.4173,-0.0753,-0.3045,-0.0033,0.44480000000000003,0.4182,-0.3341,0.0329,0.9887,0.9198000000000001,0.4052,0.019200000000000002,-0.1052,-0.7986000000000001,-0.364,-0.088,0.7218,0.1111,0.21530000000000002,-1.9411,-0.26380000000000003,0.4455,0.27590000000000003,-0.211,4.0212,-0.061900000000000004,-0.32130000000000003,-0.8192,0.21080000000000002,-0.2041,0.7262000000000001,0.4752,-0.3985,-0.3917,-0.3458,0.025900000000000003,0.1307,0.7356,-0.152,-0.1844,-0.6713,0.16690000000000002,-0.050100000000000006,0.19240000000000002
has,0.5482,0.0388,0.1013,0.31320000000000003,0.0955,0.4181,-0.7949,-0.583,0.026600000000000002,0.12390000000000001,0.3519,-0.0216,-0.8702000000000001,-0.2718,0.6545000000000001,0.4293,0.0975,0.3178,-0.1192,-0.0971,-0.4758,0.24910000000000002,0.1223,-0.2908,-0.16870000000000002,-2.1072,0.0222,0.45280000000000004,-0.6448,0.1318,3.6593999999999998,-0.1714,0.23920000000000002,-0.42250000000000004,-0.0883,-0.3292,-0.1285,0.4706,-0.076,-0.2775,-0.419,0.608,-0.2426,0.0149,-0.232,0.020900000000000002,-0.8218000000000001,0.2659,-0.4027,-0.1711
are,0.9619000000000001,0.0125,0.21730000000000002,-0.0654,0.2684,0.33590000000000003,-0.4511,-0.6055,-0.46840000000000004,-0.1841,0.0609,0.196,0.22640000000000002,0.0328,0.4249,0.4968,0.6535000000000001,-0.0274,0.1781,-1.1979,-0.4063,-0.22660000000000002,1.1495,0.5934,-0.2376,-0.9325,-0.525,0.0512,0.0322,-0.7277,4.2466,0.6059,0.334,-0.8575,0.48950000000000005,0.2174,-0.1345,0.0095,-0.5417000000000001,0.18860000000000002,-0.6451,0.012700000000000001,0.7345,1.0032,0.4187,0.166,-0.7108,0.1403,-0.38470000000000004,-0.3871
