,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
handed,-0.4732,-0.2931,-0.2422,-0.049800000000000004,0.7156,-0.0961,-0.4318,0.7518,-0.1302,-0.06910000000000001,-0.3284,0.0092,-0.4289,0.4444,0.4612,-0.7556,-0.1821,-0.8348,-0.30720000000000003,-0.23,-0.0867,0.25670000000000004,0.18480000000000002,-0.6163000000000001,-0.5903,-1.7814,0.714,0.1173,-0.0448,-0.5346000000000001,2.2093,0.023,-0.5486,0.3748,0.2687,0.6099,0.6271,0.4061,-0.3386,-0.059000000000000004,0.221,0.6351,-0.0094,0.2117,-0.129,-0.11040000000000001,-0.6777000000000001,0.41600000000000004,-0.0648,-0.7613000000000001
revealed,0.8857,0.2102,0.14250000000000002,0.3068,0.2884,0.6846,-0.5896,0.17350000000000002,0.2848,-0.2039,0.42560000000000003,0.3451,-0.8493,-0.14550000000000002,1.0452,0.1268,-0.6547000000000001,-0.5417000000000001,-0.39180000000000004,0.20020000000000002,0.1121,0.47090000000000004,0.7647,-0.5284,0.23850000000000002,-1.1942,-0.662,0.4318,-0.5432,0.0641,2.0893,-0.7594000000000001,0.24080000000000001,-1.228,-0.0815,0.343,0.4556,-0.0132,-0.0131,-0.5271,0.0888,-0.1358,-0.4496,-0.0651,0.32220000000000004,-0.5961000000000001,-0.14350000000000002,0.5843,0.3463,-0.4345
hoped,0.6336,0.0907,0.1768,-0.061,0.3201,-0.5149,-0.6808000000000001,0.8713000000000001,-0.1839,0.061900000000000004,0.033100000000000004,0.0572,-0.3372,-0.1257,0.39680000000000004,0.7591,0.3946,-0.6357,0.4047,-0.4441,0.41390000000000005,0.3225,-0.1618,-0.5537000000000001,0.5714,-1.4211,0.271,-0.4525,-0.24760000000000001,-0.0823,2.2897,0.8304,-1.0759,-0.3654,-0.1308,-0.6374000000000001,-0.0684,0.2073,-0.46330000000000005,-0.37620000000000003,-0.4766,-0.111,-0.17320000000000002,-0.5175000000000001,0.38770000000000004,0.2472,-0.4932,0.6206,-0.38920000000000005,0.019100000000000002
branch,0.22460000000000002,0.3844,-0.5009,0.1671,0.25320000000000004,0.067,-0.454,0.0717,0.28040000000000004,-1.3847,0.037,0.084,-0.0683,-0.2514,-1.4902,0.2856,-0.37770000000000004,0.2801,-0.0541,0.788,0.7076,-0.6966,-0.39440000000000003,0.49350000000000005,-0.7217,-1.7357,0.0961,0.10590000000000001,-0.6708000000000001,-0.7684000000000001,2.3521,-0.7102,0.3826,-0.4479,0.15230000000000002,-0.23720000000000002,-0.3342,-0.3924,0.582,0.7935,-0.07440000000000001,-0.49920000000000003,-0.2068,0.4454,-0.3879,-0.0975,-0.060700000000000004,-0.186,0.1331,-0.47090000000000004
miller,-0.8145,0.6615,0.0668,0.6078,0.4339,0.9835,-1.2645,0.19410000000000002,-0.3309,-0.5403,-0.13570000000000002,0.33640000000000003,-1.2019,-0.398,0.7214,-0.027,0.4693,-0.4753,-0.5635,-0.6057,-0.025400000000000002,0.3159,0.07350000000000001,-0.2826,0.2751,-1.2245,0.029900000000000003,-0.1272,-0.0103,-0.37020000000000003,1.4586999999999999,-0.2146,0.108,-0.3395,0.2195,-0.5446,0.050100000000000006,0.7343000000000001,0.5676,0.16110000000000002,0.0528,0.7472000000000001,-0.5386000000000001,-0.49260000000000004,0.13090000000000002,0.0884,-0.3854,-0.37520000000000003,-0.3552,1.1872
brief,0.34950000000000003,0.8153,-1.2681,0.1562,-0.42060000000000003,-0.2832,-0.253,0.8976000000000001,-0.4055,0.1109,-1.1111,-0.1688,0.028300000000000002,0.28090000000000004,0.7298,-0.6448,-1.3739,-0.9697,-0.3901,0.1918,0.6306,0.7173,0.2288,-0.23090000000000002,0.29250000000000004,-1.2046000000000001,0.1373,0.29150000000000004,0.2174,0.8182,2.7469,-0.3216,-0.456,-0.3869,0.1404,0.3195,0.2546,-0.3269,-0.9323,-0.2212,0.1134,0.531,-0.7819,-0.1291,-0.015600000000000001,-0.1017,0.6785,0.6173000000000001,-0.5362,0.20350000000000001
becomes,0.22990000000000002,0.2513,-0.12440000000000001,-0.010400000000000001,0.8942,0.6439,0.3718,0.38070000000000004,0.2112,0.1552,0.32020000000000004,0.46480000000000005,-0.0533,0.41090000000000004,0.23450000000000001,0.6213000000000001,0.0577,0.5395,0.30920000000000003,0.2152,-0.561,-0.1705,-0.2398,0.8678,0.8175,-1.7095,-0.0179,0.7414000000000001,1.0003,0.6709,2.4355,-0.604,0.2701,-0.6092000000000001,-0.2715,-0.0896,-0.23320000000000002,0.338,-0.1908,-0.9652000000000001,-0.25070000000000003,0.1232,-0.355,-0.0809,-0.5179,0.1421,0.1799,-0.9746,0.5258,0.7376
wait,0.4224,-0.1582,0.3244,-0.8748,0.43260000000000004,-0.919,-0.6792,1.1121,-0.0979,-0.233,-0.2887,0.15380000000000002,-0.109,0.37870000000000004,1.4087,0.8404,-0.1423,-0.5404,0.0655,-0.8597,0.2243,0.2943,0.3578,0.5776,0.6777000000000001,-1.3517000000000001,0.013800000000000002,0.1509,0.6728000000000001,-0.24380000000000002,2.4976000000000003,0.7679,-0.9576,0.2043,0.356,-0.4022,0.6465000000000001,0.032,0.23340000000000002,-0.7405,-0.6255000000000001,-0.209,-0.0046,0.5478000000000001,-0.0356,-0.031900000000000005,0.5027,-0.013300000000000001,-0.0363,0.5706
tracks,-0.22510000000000002,0.4043,0.9141,0.09570000000000001,-0.9832000000000001,0.5680000000000001,-1.5016,-0.317,0.4111,0.17550000000000002,-0.17,-0.22590000000000002,-0.6308,0.589,-0.0296,-0.396,0.0873,-0.14880000000000002,-0.0233,-0.7959,0.7412000000000001,-0.2477,0.7868,0.9748,0.2777,0.225,-0.7912,0.2462,0.21880000000000002,-0.7355,3.1671,-0.9183,0.9540000000000001,-0.006,0.29460000000000003,-0.228,0.8038000000000001,-0.5155000000000001,-0.5519000000000001,0.1592,-0.138,-0.9541000000000001,-0.1688,-0.3295,-0.0483,-0.34650000000000003,0.2489,-0.7168,-0.0886,-0.1081
moves,0.009300000000000001,-0.20980000000000001,-0.0466,-0.057800000000000004,-0.0274,-0.1554,0.2242,0.1721,-0.4022,0.3478,-0.3322,0.047900000000000005,-0.516,0.6516000000000001,-0.1638,0.4746,0.11750000000000001,-0.6672,-0.1168,-0.5313,0.4233,-0.2847,-0.4081,-0.0048000000000000004,0.251,-1.4625,0.5352,0.2078,0.5238,-0.0599,2.7818,0.33,-0.2585,-0.0888,-0.2974,-0.4665,-0.4722,-0.2505,-0.796,-0.6085,-0.3458,0.186,0.0587,-0.45070000000000005,0.1706,-0.1033,0.995,0.0971,0.048400000000000006,0.332
soldier,-0.0589,-0.1143,0.0915,-0.7789,1.9506000000000001,0.21860000000000002,-0.1399,1.0741,0.0334,-1.5337,0.2822,-0.7678,-0.1398,0.19240000000000002,0.1922,-1.0372,-0.48360000000000003,0.5671,-0.8793000000000001,0.599,-0.6672,1.2274,-0.19010000000000002,0.0009000000000000001,0.0478,-1.9535,-0.5835,-0.3456,0.6113000000000001,0.5308,1.8786,-0.8846,-0.7951,0.26990000000000003,0.45680000000000004,1.1192,0.22,-0.9634,-0.1948,-0.22460000000000002,0.3859,0.0999,0.3019,-0.8468,1.0729,-0.902,-0.1836,-0.19240000000000002,-0.0442,-0.1252
wind,0.2046,0.1396,0.6192000000000001,-0.11120000000000001,-1.2909,0.0415,-0.0071,0.5011,0.3058,0.5366000000000001,-0.09620000000000001,0.051800000000000006,0.585,0.39940000000000003,-0.7389,-0.0181,0.5752,0.4635,-1.4922,-1.8647,0.0324,-0.08710000000000001,0.3417,-0.8214,1.4041000000000001,-0.5064000000000001,-0.419,0.40800000000000003,0.7002,0.2177,2.9612,-0.024800000000000003,0.251,-0.034800000000000005,-0.38120000000000004,-0.48150000000000004,-0.0201,-0.21350000000000002,0.7775000000000001,0.1071,-0.4244,0.12890000000000001,0.11610000000000001,-0.0787,-0.1719,0.4298,0.2901,-0.968,-0.5372,0.1582
knowledge,0.4234,0.5381,-0.451,0.0414,0.9823000000000001,-0.0099,0.07970000000000001,-0.214,0.5143,0.6114,0.5752,0.8687,-0.1254,-0.7984,-0.295,-0.0626,0.1739,0.3519,0.4566,0.0236,0.277,0.7102,0.227,-0.24450000000000002,0.8154,-1.3212000000000002,-0.8735,-0.8328,0.3234,0.0872,2.9042,-0.14300000000000002,-0.3481,-1.6425,0.0712,0.40590000000000004,-0.8999,0.49260000000000004,-0.026000000000000002,0.156,0.6372,-0.7221000000000001,0.0025,1.0538,-0.2852,-0.294,0.37060000000000004,1.1959,0.18660000000000002,-0.37570000000000003
newly,0.399,-0.251,0.1466,-0.45640000000000003,0.2008,-0.06330000000000001,-1.042,-0.2768,-0.4022,-0.6118,0.6579,0.0135,0.09530000000000001,0.2923,-0.1236,0.43160000000000004,-0.38670000000000004,0.298,0.3023,0.2878,-0.027800000000000002,-0.4082,0.1501,0.0123,-0.8399000000000001,-1.1434,0.11120000000000001,0.059500000000000004,-0.7201000000000001,0.2574,2.6611000000000002,-0.3662,-0.2195,-0.8878,0.11800000000000001,0.2533,0.3161,0.8582000000000001,-0.5923,-0.6743,-0.2836,-0.5694,-0.0821,-0.5118,-0.37310000000000004,0.30610000000000004,-0.9963000000000001,-0.7065,-0.0413,-0.5215000000000001
woods,-0.09050000000000001,0.3935,-0.1545,0.5406000000000001,-0.0858,-0.025500000000000002,-1.3316,0.5022,0.085,-0.8702000000000001,-1.2203,-0.3637,-1.1014,-0.5358,0.4471,0.48710000000000003,1.0464,-0.1794,-0.8586,-0.385,-1.096,1.2376,0.2872,-0.42450000000000004,0.9257000000000001,-0.8775000000000001,-0.39880000000000004,0.3909,-0.19440000000000002,-0.6545000000000001,2.0577,-0.5826,0.26730000000000004,0.7136,0.7952,-0.23290000000000002,-0.309,0.7194,0.2897,-1.1911,-0.2867,-0.6206,0.0723,0.6933,0.4867,-0.064,0.5139,-0.7481,-0.381,0.1414
suspect,1.0802,-0.3765,0.7098,-0.0105,1.4464000000000001,0.23620000000000002,-0.214,0.5894,0.2952,0.026600000000000002,0.0603,-0.316,-0.851,0.3588,1.0247,0.0151,-0.2058,-0.38230000000000003,-0.1772,0.4333,-0.0608,0.4481,0.39830000000000004,0.9318000000000001,-0.6258,-2.6135,-0.0183,-0.0287,0.2949,-0.2675,1.4125,-0.9732000000000001,-0.47000000000000003,-1.0182,1.0444,0.2611,0.2511,-0.011300000000000001,-0.2373,0.033100000000000004,-0.0683,0.5863,0.8296,0.1264,1.2181,-0.5737,-0.2722,0.4348,0.8638,-0.3531
tied,-0.6367,-0.073,0.1316,0.3798,0.7812,0.5929,-0.7334,0.08950000000000001,-0.08510000000000001,-0.25720000000000004,-0.3916,-0.4878,-1.5206,0.5730000000000001,0.0529,-0.7904,0.2197,-1.0856,-0.6966,-0.035,-0.4912,-0.13490000000000002,0.3965,-0.3274,-0.6684,-0.8902,0.4184,0.21710000000000002,0.020800000000000003,-1.3093,2.202,0.5899,0.506,0.4481,0.22110000000000002,0.0125,-0.050300000000000004,0.9639000000000001,0.1509,-0.3256,-0.5216000000000001,-0.4373,0.4864,0.3432,-0.339,-0.0415,0.0776,-0.4128,0.095,-0.6041000000000001
abroad,0.5022,-0.11660000000000001,0.3337,-0.8961,-0.005200000000000001,-0.5278,-0.614,0.1729,-0.0833,0.6937,0.5907,0.012700000000000001,0.667,-0.3795,0.848,0.0495,-0.0658,-0.10540000000000001,0.394,0.2609,1.1775,0.1996,0.188,0.27080000000000004,0.036000000000000004,-1.5276,0.17300000000000001,-1.0911,0.1446,0.3521,2.6696,1.0725,0.2381,-0.7717,-0.3151,0.185,-0.8565,0.6091,-1.1626,-0.17400000000000002,-0.1396,-0.0224,1.3175,-0.10210000000000001,0.2995,-0.35650000000000004,-0.9741000000000001,0.3178,-0.5025000000000001,-0.6576000000000001
feeling,-0.0704,-0.1212,-0.5287000000000001,-0.6248,0.7507,-0.0545,0.0629,1.2127,-0.5962000000000001,0.6922,0.4046,-0.0507,-0.6111,-0.201,0.36360000000000003,0.28290000000000004,0.0195,0.164,0.0656,-0.6872,-1.0993,1.3423,0.2227,0.1696,1.2745,-1.1989,-1.015,0.855,1.3961000000000001,0.15280000000000002,2.635,1.231,0.9512,-0.5572,-0.788,-0.33580000000000004,-0.23520000000000002,-0.1459,0.3351,-0.74,-0.3139,-0.33580000000000004,-0.2802,0.4932,0.20620000000000002,0.47650000000000003,-0.5376000000000001,-0.20320000000000002,-0.2101,0.4708
picked,-0.20950000000000002,-0.4097,0.6235,0.0737,0.7619,-0.18780000000000002,-1.5682,0.3452,-0.19920000000000002,-0.2487,0.042,-0.0994,-0.24080000000000001,0.4555,0.4157,-0.2972,-0.0805,-0.32370000000000004,-0.8664000000000001,-0.7184,-0.212,0.2898,0.7173,-0.17370000000000002,0.31170000000000003,-1.2208,0.3255,0.2701,-0.2293,-0.5908,2.0618,0.3896,0.11180000000000001,-0.1291,0.3627,0.1826,-0.034300000000000004,0.5851000000000001,-0.013300000000000001,-0.5099,-0.16820000000000002,0.5132,-0.2947,-0.1695,0.2238,-0.044,-0.2466,-0.11950000000000001,0.19720000000000001,-0.2674
brand,-0.2066,0.1444,-0.2233,0.4726,0.2218,0.44480000000000003,-1.2168,-1.4672,0.4027,0.8234,0.791,0.45130000000000003,-0.7508,-0.48140000000000005,-0.0971,0.6669,-0.5376000000000001,0.853,0.11220000000000001,-1.0026,0.3748,-0.234,-0.322,0.44070000000000004,-1.0586,-1.0222,-1.3744,0.1453,0.712,-0.0726,2.0187,0.5710000000000001,-0.2202,0.2938,0.335,-0.4091,-0.5343,0.6109,-0.8201,-0.4808,0.6371,-0.2078,-0.371,-0.4249,0.5497000000000001,0.5121,-0.808,-0.2354,-0.0398,0.33190000000000003
turning,0.0443,-0.23970000000000002,0.1603,-0.6036,0.1221,0.0926,-0.2659,0.07440000000000001,0.0979,0.2154,-0.46890000000000004,-0.2741,-0.5054000000000001,0.4138,-0.055400000000000005,0.08120000000000001,0.3113,0.13520000000000001,-0.2169,-0.44320000000000004,0.3768,0.1067,0.1948,0.1197,0.3629,-1.4945,-0.058100000000000006,0.5451,0.8445,-0.0921,2.6573,0.3375,-0.1072,-0.3402,-0.30720000000000003,0.058300000000000005,-0.5796,0.3956,-0.1733,-0.3039,-0.4388,0.0373,-0.10640000000000001,0.1553,0.0114,0.17220000000000002,0.28150000000000003,-0.517,-0.0906,-0.30920000000000003
palace,1.4152,1.2888,-0.913,0.1529,0.44830000000000003,-1.7557,0.1807,0.636,-1.6219999999999999,-0.5636,-0.8230000000000001,-0.1656,-0.2363,-0.6004,0.2326,0.6567000000000001,-0.1472,0.1481,-0.5784,0.303,1.0693,0.2605,-0.7543000000000001,-0.48560000000000003,-0.5963,-1.0282,-0.359,0.8653000000000001,-0.5191,-0.035500000000000004,1.6956,0.0239,-0.34190000000000004,-0.2722,0.0898,1.1768,0.7034,0.38320000000000004,-0.5650000000000001,-0.0621,0.5206000000000001,0.08310000000000001,-0.23270000000000002,-0.30760000000000004,-0.15960000000000002,0.19110000000000002,-1.0558,-1.4794,0.4237,-1.4129
fashion,-0.0771,0.199,-1.2732,-0.027,0.3058,-0.2278,-0.7089000000000001,-1.2006000000000001,-0.0889,0.585,-0.002,-0.5804,-1.0658,0.49310000000000004,0.5006,-0.1057,-0.3418,-0.3301,0.19840000000000002,-0.8025,0.5731,0.7362000000000001,-0.9087000000000001,0.7336,-0.44260000000000005,-0.8130000000000001,-1.8889,0.3687,0.2861,-0.12610000000000002,2.1358,0.5017,0.37360000000000004,-0.5529000000000001,-0.31220000000000003,0.0736,-0.3536,1.0819,-0.8357,-0.32830000000000004,0.4393,0.3916,0.151,-0.2021,0.5378000000000001,-0.27540000000000003,0.31370000000000003,-0.5646,0.3265,0.8075
roads,0.6626000000000001,0.21230000000000002,0.7797000000000001,-0.2974,-1.7562,-0.2539,-0.9175000000000001,-0.1208,0.08220000000000001,-1.4477,-0.8762000000000001,-0.6138,-0.189,-0.9201,-0.7624000000000001,0.41200000000000003,0.5055000000000001,0.2381,0.6986,-0.6604,0.2574,-0.21810000000000002,-0.3493,0.3916,0.5656,-0.1495,0.5056,0.7966000000000001,1.5936,-0.1479,3.2168,0.1762,0.38780000000000003,-0.23390000000000002,0.2745,0.9483,0.27030000000000004,-0.0039000000000000003,-0.4944,1.4444,-0.7831,-0.14780000000000001,0.8974000000000001,-0.2089,-0.562,0.0159,-0.7162000000000001,-0.9915,0.7977000000000001,-0.9672000000000001
broad,0.0697,0.33740000000000003,-0.38180000000000003,-0.4017,0.31010000000000004,0.6395000000000001,0.0375,-1.2318,0.2811,-0.060200000000000004,-1.1076,-0.18760000000000002,-0.2383,0.0091,-1.4122,0.1814,0.6595000000000001,-1.2109,0.1318,-0.7084,0.10160000000000001,0.2974,-0.2363,-0.48460000000000003,-0.44060000000000005,-0.7331000000000001,0.2826,0.6969000000000001,-0.1351,0.1359,3.0916,-0.29910000000000003,0.1291,-0.6834,0.0247,-0.4329,-0.6029,-0.0217,-0.7073,-0.2992,0.0061,0.1678,0.029900000000000003,0.2338,-0.32330000000000003,0.2336,0.273,0.44530000000000003,0.2328,0.1456
interested,0.4116,0.06380000000000001,-0.3062,-0.1585,0.5736,0.0026000000000000003,-1.3106,0.1236,-0.5873,0.5750000000000001,0.45690000000000003,0.6174000000000001,-0.32580000000000003,0.0431,0.35860000000000003,0.18580000000000002,0.5995,0.5623,0.44530000000000003,-0.44970000000000004,0.6613,0.7928000000000001,0.1496,0.6237,0.4848,-1.3261,-0.15030000000000002,-0.442,0.2504,-0.45,2.3763,0.4652,-0.028900000000000002,-1.2519,-0.1582,-0.3613,-0.9472,0.7357,-0.40640000000000004,-0.17320000000000002,0.0756,-0.6286,0.3926,0.6236,0.22660000000000002,-0.1311,-0.5913,0.6901,-0.3699,0.4143
considering,0.456,-0.36,-0.2644,0.040100000000000004,0.0458,0.381,-0.44260000000000005,0.1293,-0.024300000000000002,0.1796,-0.4209,0.0473,-0.22360000000000002,0.0212,0.5659000000000001,0.19920000000000002,0.0167,-0.24480000000000002,0.2451,-0.8243,0.6872,-0.0661,-0.52,-0.45080000000000003,-0.1452,-1.5647,0.233,0.1346,0.2019,-0.1547,2.58,0.4222,-0.2454,-0.6054,0.26030000000000003,-0.4817,0.1542,0.2441,-0.8252,-0.28550000000000003,-0.6142000000000001,-0.1265,0.2743,0.3373,-0.2063,-0.15480000000000002,-0.3588,1.4452,-0.18610000000000002,0.6398
weight,-0.23240000000000002,0.4403,0.4153,-0.8825000000000001,0.6297,1.0603,1.2875,-0.4938,1.0563,0.0015,0.5667,-0.1424,-0.4818,-0.024300000000000002,0.3392,0.0897,-0.10740000000000001,0.37670000000000003,-0.6901,-1.4362,-0.43970000000000004,-0.09240000000000001,0.7251000000000001,-0.5629000000000001,-0.2368,-1.1319,-0.42810000000000004,0.1847,0.6011000000000001,0.9219,2.7121,1.0021,0.15710000000000002,0.23970000000000002,0.3155,0.1015,0.44160000000000005,0.837,0.434,-0.2068,-0.0636,-0.2265,0.4415,0.9854,-0.050800000000000005,-0.1236,0.362,-0.1418,-0.06720000000000001,0.2866
doubt,0.3662,0.1063,-0.0118,-0.1691,0.6405000000000001,0.0724,-0.020900000000000002,0.8087000000000001,-0.0148,0.5036,-0.0737,0.23240000000000002,-0.9116000000000001,-0.3043,0.7121000000000001,0.5196000000000001,0.5722,-0.6192000000000001,0.0246,-0.5536,-0.4858,0.44730000000000003,0.1836,-0.42760000000000004,0.6587000000000001,-1.794,-0.6648000000000001,0.2656,0.28850000000000003,0.116,2.0113,0.3025,-0.2288,-1.0357,-0.1942,-0.4964,-0.0898,-0.032100000000000004,-0.0908,-0.7599,-0.1899,0.0015,-0.29960000000000003,0.19260000000000002,0.1072,0.2893,-0.2252,0.9764,-0.0207,-0.1814
granted,0.07490000000000001,0.42060000000000003,-0.4703,-0.2088,0.32580000000000003,-0.1499,-0.2581,0.8337,0.1645,-0.1562,0.6275000000000001,0.6932,0.8634000000000001,-1.1355,0.84,0.509,-0.2571,-0.5551,0.33840000000000003,0.2384,0.5495,-0.0751,-0.43560000000000004,-0.423,-0.5629000000000001,-1.6004,0.22790000000000002,-1.1504,-0.4307,0.2595,2.1225,-0.3443,-1.0882,-0.3121,0.5118,-0.3054,0.6899000000000001,-0.0575,-0.4122,-0.4297,0.11130000000000001,0.1526,0.431,0.5462,-1.8761,-0.4662,-0.9143,-0.1956,-0.49110000000000004,-0.2248
friendly,0.2328,0.4938,-0.9889,0.803,0.3962,0.013000000000000001,-0.4234,0.1681,-0.5464,0.3111,0.3468,-0.09920000000000001,0.309,0.1252,-0.1804,0.1014,0.0073,0.3972,-0.0379,-0.202,-0.11520000000000001,0.5301,-0.26680000000000004,0.522,0.18760000000000002,-0.8896000000000001,0.8345,0.2089,0.6714,0.0335,2.8929,1.1663000000000001,-0.28,-0.25620000000000004,-0.13040000000000002,0.0944,-0.384,0.7243,-1.2855,-0.9006000000000001,0.4907,-0.4665,0.2432,-0.33790000000000003,0.7097,0.6536000000000001,-0.641,0.2228,0.6178,0.34550000000000003
pair,0.0639,0.5564,0.1874,0.5869,0.6497,0.9558000000000001,-0.4179,0.0913,-0.5477000000000001,-0.1739,0.2687,0.09380000000000001,-0.7023,0.768,0.1318,-0.3395,-0.16920000000000002,-0.4827,-0.7653000000000001,-1.0036,-0.33890000000000003,0.3568,0.36410000000000003,0.0896,-0.1504,-0.8958,0.1577,0.0482,-0.019100000000000002,-1.0416,2.3934,0.48810000000000003,0.267,0.33890000000000003,0.8644000000000001,0.5495,0.3247,0.6166,-0.6307,-0.2612,0.26830000000000004,0.3209,0.49970000000000003,0.19490000000000002,0.6547000000000001,-0.6177,0.23170000000000002,-0.752,-0.11370000000000001,-0.6994
venture,1.1105,0.0483,0.6153000000000001,1.3777,-0.12560000000000002,0.2338,-1.1708,-0.3539,0.132,0.6553,0.33230000000000004,0.2599,-0.6012000000000001,0.1427,-0.3672,0.33630000000000004,0.5173,1.3251,-0.09,-0.3155,1.6395,0.184,-0.4808,-0.1418,-0.3254,-0.7758,-0.30770000000000003,-0.47850000000000004,-0.10880000000000001,-0.20400000000000001,2.4892,0.0816,0.0016,0.6701,-0.20600000000000002,-1.0807,-1.3392,0.37010000000000004,0.1537,-0.481,0.0784,-0.9632000000000001,0.1217,-0.3261,0.015600000000000001,-0.3865,-0.55,0.21680000000000002,-0.5827,0.3315
drawn,0.14150000000000001,-0.0528,-0.3588,-0.3773,0.1781,0.5013000000000001,-0.2967,-0.35450000000000004,-0.4566,-0.3623,-0.7076,-0.3417,-0.3266,-0.3108,0.128,-0.5375,0.47990000000000005,-0.5395,-0.4408,-0.9903000000000001,0.1484,-0.1232,0.3012,0.11230000000000001,0.2147,-0.8964000000000001,-0.0876,0.3236,-0.30660000000000004,-0.2676,2.5398,0.2066,-0.0268,-0.7154,-0.27640000000000003,0.2559,-0.0883,0.069,-1.1586,-0.46680000000000005,0.305,-0.0631,0.0531,0.0414,0.1139,0.1739,0.0058000000000000005,0.2464,0.0204,-0.9003
stands,-0.23900000000000002,0.7847000000000001,0.3659,-0.1562,1.3829,-0.2637,-0.0876,-0.5642,0.0204,-0.25470000000000004,-0.5473,-0.6841,0.0405,-0.2505,0.23970000000000002,0.2189,0.34790000000000004,0.27390000000000003,-0.0878,-0.4058,-0.3136,-0.21830000000000002,-0.6184000000000001,-0.2099,0.1539,-1.1732,0.178,0.8703000000000001,0.1013,-0.0442,2.4648,-0.19920000000000002,0.10250000000000001,0.3734,-0.45270000000000005,-0.1826,0.3402,0.0374,-0.1464,-0.6083000000000001,0.042800000000000005,-0.2768,-0.0902,0.0966,-0.2204,0.4955,-0.38670000000000004,-0.5581,0.2258,-0.40130000000000005
cutting,0.2399,-0.45780000000000004,0.43820000000000003,-1.0712,-0.47840000000000005,0.7958000000000001,-0.26030000000000003,-0.7406,0.46240000000000003,-0.0614,-0.577,-0.2969,-0.20980000000000001,-0.0367,-0.0587,0.0483,0.3276,-0.10250000000000001,0.5305,-1.117,0.9204,-0.7308,-0.2968,-0.7904,-0.3134,-1.1557,0.4358,0.5025000000000001,0.6864,-0.2612,3.0679,0.7225,0.0036000000000000003,0.3881,-0.6163000000000001,0.1663,-0.3972,0.6214000000000001,0.2514,-0.08020000000000001,-0.4939,-0.051800000000000006,0.21680000000000002,-0.0664,0.294,-0.3496,0.3396,0.24910000000000002,-0.2869,0.15910000000000002
quick,0.13970000000000002,-0.538,-0.18050000000000002,-0.2514,0.162,-0.13870000000000002,-0.2464,0.7511,0.2726,0.6103000000000001,-0.8255,0.0386,-0.3236,0.3037,-0.146,-0.23550000000000001,0.3927,-1.1287,-0.2364,-1.0629,0.0463,0.2914,-0.2582,-0.0949,0.7948000000000001,-1.2095,-0.010400000000000001,-0.0921,0.8432000000000001,-0.1106,3.0096,0.5165000000000001,-0.7699,0.5107,0.37510000000000004,0.1216,0.0828,0.436,-0.1584,-0.6105,0.3501,0.5246000000000001,-0.5175000000000001,0.0035,0.7362000000000001,0.1625,0.8528,0.8527,0.5789000000000001,0.6448
marks,0.2907,0.8456,-0.177,-0.545,1.2424,0.2741,0.0551,-0.5198,0.17750000000000002,0.1165,-0.2524,-0.7972,-0.1656,-0.6042000000000001,0.6439,-0.2909,-0.3514,-0.9428000000000001,-0.9741000000000001,-0.0592,0.7296,-0.5928,-0.6735,-1.2810000000000001,-0.1867,-0.9002,-0.7096,0.3235,-0.38020000000000004,-0.2504,2.3229,0.18630000000000002,0.4067,0.9056000000000001,-0.3483,-0.6944,0.5448000000000001,-0.0651,0.0051,-0.3764,0.0626,-0.2626,0.011600000000000001,-0.5205000000000001,-0.0724,-0.1066,0.6296,0.5202,-0.3216,-0.2992
duty,-0.6936,-0.1207,-0.4157,-0.637,0.7291000000000001,-0.3446,0.2652,0.7528,0.8529,-1.5509,0.3799,0.5534,0.050100000000000006,-0.4127,0.2856,-0.3899,-0.6695,0.5405,-0.2119,-0.7303000000000001,0.6516000000000001,0.2595,-0.0349,-0.24080000000000001,-0.4878,-1.505,-0.038200000000000005,-0.3644,1.3900000000000001,0.4818,2.2718,0.715,-0.6416000000000001,-0.23600000000000002,0.39690000000000003,0.5237,0.5886,-0.5351,-0.3052,0.21910000000000002,-0.13040000000000002,-0.384,0.7152000000000001,-0.1121,-0.5167,-0.4466,-0.5758,-0.076,-0.0142,0.7439
mile,0.22390000000000002,1.3072,0.6487,0.278,0.4355,0.2963,-0.2953,-0.7705000000000001,0.8124,-0.9139,-0.9777,-2.0684,-0.2083,-1.0985,0.20090000000000002,-0.1705,0.9817,0.8896000000000001,-1.6925,-0.0092,-0.4121,0.2152,-0.4788,0.08,0.3262,-0.3205,0.2044,0.8886000000000001,0.9590000000000001,-0.27640000000000003,2.2801,-0.1058,-0.321,1.1558,0.0611,-0.3448,0.3564,0.045,0.1834,0.10260000000000001,-0.0366,-0.43360000000000004,0.2156,0.17,-1.6162,-0.9762000000000001,0.7642,-1.1101,-0.1337,-0.42460000000000003
